b_co,h_02,b_ci,h_i,r_i1,h_ci,b_i,Abi,case,error
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,32,16,0,32,2166,0,
114,114,0,32,16,0,32,2166,0,
114,114,0,88,44,0,88,2166,0,
114,114,0,88,44,0,88,2166,0,
114,114,0,88,44,0,88,2166,0,
114,114,0,88,44,0,88,2166,0,
174,174,0,88,44,0,88,5046,0,
174,174,0,88,44,0,88,5046,0,
234,234,0,114,57,0,114,9126,0,
234,234,0,114,57,0,114,9126,0,
294,294,0,165,82.5,0,165,14406,0,
294,294,0,165,82.5,0,165,14406,0,
114,114,0,32,16,0,32,2166,0,
114,114,0,32,16,0,32,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,58,29,0,58,2166,0,
114,114,0,88,44,0,88,2166,0,
114,114,0,88,44,0,88,2166,0,
174,174,0,88,44,0,88,5046,0,
174,174,0,88,44,0,88,5046,0,
234,234,0,114,57,0,114,9126,0,
234,234,0,114,57,0,114,9126,0,
294,294,0,165,82.5,0,165,14406,0,
294,294,0,165,82.5,0,165,14406,0,
212.76,212.76,0,159,79.5,0,159,7544.4696,0,
212.76,212.76,0,159,79.5,0,159,7544.4696,0,
212.76,212.76,0,106,53,0,106,7544.4696,0,
212.76,212.76,0,106,53,0,106,7544.4696,0,
212.76,212.76,0,159,79.5,0,159,7544.4696,0,
212.76,212.76,0,159,79.5,0,159,7544.4696,0,
152.76,152.76,0,60,30,0,60,3889.2696,0,
210,210,0,90,45,0,90,7350,0,
212,212,0,90,45,0,90,7490.666667,0,
214,214,0,90,45,0,90,7632.666667,0,
216,216,0,90,45,0,90,7776,0,
218,218,0,90,45,0,90,7920.666667,0,
280,280,0,150,75,0,150,13066.66667,0,
330,330,0,150,75,0,150,18150,0,
380,380,0,150,75,0,150,24066.66667,0,
430,430,0,150,75,0,150,30816.66667,0,
480,480,0,150,75,0,150,38400,0,
